"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Illinois"	"17"	"< 1 year"	"0"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	24	377253	6.4
	"Illinois"	"17"	"< 1 year"	"0"	"Septicaemia, unspecified"	"A41.9"	10	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Other disorders of lung"	"J98.4"	11	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by incompetent cervix"	"P01.0"	57	377253	15.1
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by premature rupture of membranes"	"P01.1"	95	377253	25.2
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by oligohydramnios"	"P01.2"	11	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by multiple pregnancy"	"P01.5"	11	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by other maternal complications of pregnancy"	"P01.8"	11	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	45	377253	11.9
	"Illinois"	"17"	"< 1 year"	"0"	"Newborn affected by chorioamnionitis"	"P02.7"	26	377253	6.9
	"Illinois"	"17"	"< 1 year"	"0"	"Slow fetal growth, unspecified"	"P05.9"	14	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	485	377253	128.6
	"Illinois"	"17"	"< 1 year"	"0"	"Other preterm infants"	"P07.3"	99	377253	26.2
	"Illinois"	"17"	"< 1 year"	"0"	"Intrauterine hypoxia, unspecified"	"P20.9"	22	377253	5.8
	"Illinois"	"17"	"< 1 year"	"0"	"Birth asphyxia, unspecified"	"P21.9"	10	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Respiratory distress syndrome of newborn"	"P22.0"	33	377253	8.7
	"Illinois"	"17"	"< 1 year"	"0"	"Unspecified pulmonary haemorrhage originating in the perinatal period"	"P26.9"	18	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Bronchopulmonary dysplasia originating in the perinatal period"	"P27.1"	15	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Primary atelectasis of newborn"	"P28.0"	33	377253	8.7
	"Illinois"	"17"	"< 1 year"	"0"	"Neonatal cardiac failure"	"P29.0"	32	377253	8.5
	"Illinois"	"17"	"< 1 year"	"0"	"Neonatal cardiac dysrhythmia"	"P29.1"	26	377253	6.9
	"Illinois"	"17"	"< 1 year"	"0"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	49	377253	13.0
	"Illinois"	"17"	"< 1 year"	"0"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	29	377253	7.7
	"Illinois"	"17"	"< 1 year"	"0"	"Necrotizing enterocolitis of newborn"	"P77"	28	377253	7.4
	"Illinois"	"17"	"< 1 year"	"0"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	17	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	17	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Anencephaly"	"Q00.0"	16	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Holoprosencephaly"	"Q04.2"	10	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Hypoplastic left heart syndrome"	"Q23.4"	23	377253	6.1
	"Illinois"	"17"	"< 1 year"	"0"	"Congenital malformation of heart, unspecified"	"Q24.9"	46	377253	12.2
	"Illinois"	"17"	"< 1 year"	"0"	"Hypoplasia and dysplasia of lung"	"Q33.6"	19	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Renal agenesis, unspecified"	"Q60.2"	14	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Polycystic kidney, unspecified"	"Q61.3"	12	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Osteochondrodysplasia, unspecified"	"Q78.9"	10	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Congenital diaphragmatic hernia"	"Q79.0"	32	377253	8.5
	"Illinois"	"17"	"< 1 year"	"0"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	21	377253	5.6
	"Illinois"	"17"	"< 1 year"	"0"	"Congenital malformation, unspecified"	"Q89.9"	17	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Edwards syndrome, unspecified"	"Q91.3"	31	377253	8.2
	"Illinois"	"17"	"< 1 year"	"0"	"Patau syndrome, unspecified"	"Q91.7"	24	377253	6.4
	"Illinois"	"17"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	53	377253	14.0
	"Illinois"	"17"	"< 1 year"	"0"	"Other ill-defined and unspecified causes of mortality"	"R99"	191	377253	50.6
	"Illinois"	"17"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	143	377253	37.9
	"Illinois"	"17"	"< 1 year"	"0"	"By unspecified person"	"Y07.9"	13	377253	Unreliable
	"Illinois"	"17"	"< 1 year"	"0"	"Assault by unspecified means"	"Y09"	14	377253	Unreliable
	"Illinois"	"17"	"1 year"	"1"	"Other ill-defined and unspecified causes of mortality"	"R99"	13	381905	Unreliable
	"Illinois"	"17"	"14 years"	"14"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10	421077	Unreliable
	"Illinois"	"17"	"14 years"	"14"	"Assault by other and unspecified firearm discharge"	"X95"	19	421077	Unreliable
	"Illinois"	"17"	"15 years"	"15"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	20	423687	4.7
	"Illinois"	"17"	"15 years"	"15"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	10	423687	Unreliable
	"Illinois"	"17"	"15 years"	"15"	"Assault by other and unspecified firearm discharge"	"X95"	57	423687	13.5
	"Illinois"	"17"	"16 years"	"16"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	18	426917	Unreliable
	"Illinois"	"17"	"16 years"	"16"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	30	426917	7.0
	"Illinois"	"17"	"16 years"	"16"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	11	426917	Unreliable
	"Illinois"	"17"	"16 years"	"16"	"Assault by other and unspecified firearm discharge"	"X95"	97	426917	22.7
	"Illinois"	"17"	"17 years"	"17"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	23	428692	5.4
	"Illinois"	"17"	"17 years"	"17"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	18	428692	Unreliable
	"Illinois"	"17"	"17 years"	"17"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	23	428692	5.4
	"Illinois"	"17"	"17 years"	"17"	"Assault by other and unspecified firearm discharge"	"X95"	133	428692	31.0
	"Illinois"	"17"	"18 years"	"18"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	28	423243	6.6
	"Illinois"	"17"	"18 years"	"18"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	423243	4.7
	"Illinois"	"17"	"18 years"	"18"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	423243	Unreliable
	"Illinois"	"17"	"18 years"	"18"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	19	423243	Unreliable
	"Illinois"	"17"	"18 years"	"18"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	15	423243	Unreliable
	"Illinois"	"17"	"18 years"	"18"	"Assault by other and unspecified firearm discharge"	"X95"	156	423243	36.9
	"Illinois"	"17"	"19 years"	"19"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	24	416137	5.8
	"Illinois"	"17"	"19 years"	"19"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	26	416137	6.2
	"Illinois"	"17"	"19 years"	"19"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	22	416137	5.3
	"Illinois"	"17"	"19 years"	"19"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	30	416137	7.2
	"Illinois"	"17"	"19 years"	"19"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	24	416137	5.8
	"Illinois"	"17"	"19 years"	"19"	"Assault by other and unspecified firearm discharge"	"X95"	189	416137	45.4
	"Illinois"	"17"	"20 years"	"20"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	24	420709	5.7
	"Illinois"	"17"	"20 years"	"20"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	35	420709	8.3
	"Illinois"	"17"	"20 years"	"20"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	24	420709	5.7
	"Illinois"	"17"	"20 years"	"20"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	50	420709	11.9
	"Illinois"	"17"	"20 years"	"20"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	11	420709	Unreliable
	"Illinois"	"17"	"20 years"	"20"	"Assault by other and unspecified firearm discharge"	"X95"	183	420709	43.5
	"Illinois"	"17"	"21 years"	"21"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	10	423659	Unreliable
	"Illinois"	"17"	"21 years"	"21"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	44	423659	10.4
	"Illinois"	"17"	"21 years"	"21"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	68	423659	16.1
	"Illinois"	"17"	"21 years"	"21"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	38	423659	9.0
	"Illinois"	"17"	"21 years"	"21"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	33	423659	7.8
	"Illinois"	"17"	"21 years"	"21"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	20	423659	4.7
	"Illinois"	"17"	"21 years"	"21"	"Assault by other and unspecified firearm discharge"	"X95"	189	423659	44.6
	"Illinois"	"17"	"22 years"	"22"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	42	429373	9.8
	"Illinois"	"17"	"22 years"	"22"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	76	429373	17.7
	"Illinois"	"17"	"22 years"	"22"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	39	429373	9.1
	"Illinois"	"17"	"22 years"	"22"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	34	429373	7.9
	"Illinois"	"17"	"22 years"	"22"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	24	429373	5.6
	"Illinois"	"17"	"22 years"	"22"	"Assault by other and unspecified firearm discharge"	"X95"	193	429373	44.9
	"Illinois"	"17"	"23 years"	"23"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	38	437191	8.7
	"Illinois"	"17"	"23 years"	"23"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	77	437191	17.6
	"Illinois"	"17"	"23 years"	"23"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	57	437191	13.0
	"Illinois"	"17"	"23 years"	"23"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	45	437191	10.3
	"Illinois"	"17"	"23 years"	"23"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	30	437191	6.9
	"Illinois"	"17"	"23 years"	"23"	"Assault by other and unspecified firearm discharge"	"X95"	210	437191	48.0
	"Illinois"	"17"	"24 years"	"24"	"Other ill-defined and unspecified causes of mortality"	"R99"	11	446070	Unreliable
	"Illinois"	"17"	"24 years"	"24"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	26	446070	5.8
	"Illinois"	"17"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	76	446070	17.0
	"Illinois"	"17"	"24 years"	"24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	55	446070	12.3
	"Illinois"	"17"	"24 years"	"24"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	41	446070	9.2
