"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Indiana"	"18"	"< 1 year"	"0"	"Septicaemia, unspecified"	"A41.9"	10	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Newborn affected by incompetent cervix"	"P01.0"	13	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Newborn affected by premature rupture of membranes"	"P01.1"	25	198850	12.6
	"Indiana"	"18"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	163	198850	82.0
	"Indiana"	"18"	"< 1 year"	"0"	"Other preterm infants"	"P07.3"	54	198850	27.2
	"Indiana"	"18"	"< 1 year"	"0"	"Respiratory distress syndrome of newborn"	"P22.0"	25	198850	12.6
	"Indiana"	"18"	"< 1 year"	"0"	"Primary atelectasis of newborn"	"P28.0"	24	198850	12.1
	"Indiana"	"18"	"< 1 year"	"0"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	22	198850	11.1
	"Indiana"	"18"	"< 1 year"	"0"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	11	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Necrotizing enterocolitis of newborn"	"P77"	18	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	20	198850	10.1
	"Indiana"	"18"	"< 1 year"	"0"	"Anencephaly"	"Q00.0"	27	198850	13.6
	"Indiana"	"18"	"< 1 year"	"0"	"Holoprosencephaly"	"Q04.2"	10	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Hypoplastic left heart syndrome"	"Q23.4"	13	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Congenital malformation of heart, unspecified"	"Q24.9"	38	198850	19.1
	"Indiana"	"18"	"< 1 year"	"0"	"Hypoplasia and dysplasia of lung"	"Q33.6"	17	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Congenital diaphragmatic hernia"	"Q79.0"	13	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	16	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Congenital malformation, unspecified"	"Q89.9"	10	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Edwards syndrome, unspecified"	"Q91.3"	34	198850	17.1
	"Indiana"	"18"	"< 1 year"	"0"	"Patau syndrome, unspecified"	"Q91.7"	14	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	107	198850	53.8
	"Indiana"	"18"	"< 1 year"	"0"	"Other ill-defined and unspecified causes of mortality"	"R99"	25	198850	12.6
	"Indiana"	"18"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	79	198850	39.7
	"Indiana"	"18"	"< 1 year"	"0"	"Unspecified threat to breathing"	"W84"	14	198850	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Assault by unspecified means"	"Y09"	13	198850	Unreliable
	"Indiana"	"18"	"17 years"	"17"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	15	223361	Unreliable
	"Indiana"	"18"	"18 years"	"18"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	14	212851	Unreliable
	"Indiana"	"18"	"18 years"	"18"	"Assault by other and unspecified firearm discharge"	"X95"	12	212851	Unreliable
	"Indiana"	"18"	"19 years"	"19"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	15	234401	Unreliable
	"Indiana"	"18"	"19 years"	"19"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	234401	Unreliable
	"Indiana"	"18"	"19 years"	"19"	"Assault by other and unspecified firearm discharge"	"X95"	12	234401	Unreliable
	"Indiana"	"18"	"20 years"	"20"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	238341	Unreliable
	"Indiana"	"18"	"20 years"	"20"	"Assault by other and unspecified firearm discharge"	"X95"	12	238341	Unreliable
	"Indiana"	"18"	"21 years"	"21"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	10	238355	Unreliable
	"Indiana"	"18"	"21 years"	"21"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	238355	Unreliable
	"Indiana"	"18"	"21 years"	"21"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	238355	Unreliable
	"Indiana"	"18"	"21 years"	"21"	"Assault by other and unspecified firearm discharge"	"X95"	11	238355	Unreliable
	"Indiana"	"18"	"22 years"	"22"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	11	231449	Unreliable
	"Indiana"	"18"	"22 years"	"22"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	231449	Unreliable
	"Indiana"	"18"	"22 years"	"22"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	231449	Unreliable
	"Indiana"	"18"	"23 years"	"23"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	223582	Unreliable
	"Indiana"	"18"	"23 years"	"23"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	223582	Unreliable
	"Indiana"	"18"	"23 years"	"23"	"Assault by other and unspecified firearm discharge"	"X95"	12	223582	Unreliable
	"Indiana"	"18"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	225849	Unreliable
	"Indiana"	"18"	"24 years"	"24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	28	225849	12.4
