"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Indiana"	"18"	"< 1 year"	"0"	"Newborn affected by incompetent cervix"	"P01.0"	10	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Newborn affected by premature rupture of membranes"	"P01.1"	41	208672	19.6
	"Indiana"	"18"	"< 1 year"	"0"	"Newborn affected by other forms of placental separation and haemorrhage"	"P02.1"	21	208672	10.1
	"Indiana"	"18"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	227	208672	108.8
	"Indiana"	"18"	"< 1 year"	"0"	"Other preterm infants"	"P07.3"	69	208672	33.1
	"Indiana"	"18"	"< 1 year"	"0"	"Birth asphyxia, unspecified"	"P21.9"	11	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Respiratory distress syndrome of newborn"	"P22.0"	30	208672	14.4
	"Indiana"	"18"	"< 1 year"	"0"	"Primary atelectasis of newborn"	"P28.0"	36	208672	17.3
	"Indiana"	"18"	"< 1 year"	"0"	"Respiratory failure of newborn"	"P28.5"	15	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Neonatal cardiac dysrhythmia"	"P29.1"	10	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Bacterial sepsis of newborn, unspecified"	"P36.9"	33	208672	15.8
	"Indiana"	"18"	"< 1 year"	"0"	"Unspecified intraventricular (nontraumatic) haemorrhage of newborn"	"P52.3"	14	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Necrotizing enterocolitis of newborn"	"P77"	21	208672	10.1
	"Indiana"	"18"	"< 1 year"	"0"	"Hydrops fetalis not due to haemolytic disease"	"P83.2"	13	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	34	208672	16.3
	"Indiana"	"18"	"< 1 year"	"0"	"Anencephaly"	"Q00.0"	21	208672	10.1
	"Indiana"	"18"	"< 1 year"	"0"	"Hypoplastic left heart syndrome"	"Q23.4"	18	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Congenital malformation of heart, unspecified"	"Q24.9"	44	208672	21.1
	"Indiana"	"18"	"< 1 year"	"0"	"Hypoplasia and dysplasia of lung"	"Q33.6"	30	208672	14.4
	"Indiana"	"18"	"< 1 year"	"0"	"Congenital diaphragmatic hernia"	"Q79.0"	17	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	15	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Congenital malformation, unspecified"	"Q89.9"	11	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Edwards syndrome, unspecified"	"Q91.3"	21	208672	10.1
	"Indiana"	"18"	"< 1 year"	"0"	"Patau syndrome, unspecified"	"Q91.7"	19	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	144	208672	69.0
	"Indiana"	"18"	"< 1 year"	"0"	"Other ill-defined and unspecified causes of mortality"	"R99"	25	208672	12.0
	"Indiana"	"18"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	89	208672	42.7
	"Indiana"	"18"	"< 1 year"	"0"	"Unspecified threat to breathing"	"W84"	16	208672	Unreliable
	"Indiana"	"18"	"< 1 year"	"0"	"Assault by unspecified means"	"Y09"	12	208672	Unreliable
	"Indiana"	"18"	"15 years"	"15"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	14	230332	Unreliable
	"Indiana"	"18"	"15 years"	"15"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	12	230332	Unreliable
