"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Nebraska"	"31"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	13	62886	Unreliable
	"Nebraska"	"31"	"< 1 year"	"0"	"Other preterm infants"	"P07.3"	10	62886	Unreliable
	"Nebraska"	"31"	"< 1 year"	"0"	"Respiratory distress syndrome of newborn"	"P22.0"	10	62886	Unreliable
	"Nebraska"	"31"	"< 1 year"	"0"	"Edwards syndrome, unspecified"	"Q91.3"	11	62886	Unreliable
	"Nebraska"	"31"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	34	62886	54.1
	"Nebraska"	"31"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	10	62886	Unreliable
	"Nebraska"	"31"	"43 years"	"43"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	53534	Unreliable
	"Nebraska"	"31"	"45 years"	"45"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	53734	Unreliable
	"Nebraska"	"31"	"48 years"	"48"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	54229	Unreliable
	"Nebraska"	"31"	"49 years"	"49"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	11	53510	Unreliable
	"Nebraska"	"31"	"50 years"	"50"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	13	53033	Unreliable
	"Nebraska"	"31"	"51 years"	"51"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	10	53391	Unreliable
	"Nebraska"	"31"	"51 years"	"51"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	19	53391	Unreliable
	"Nebraska"	"31"	"52 years"	"52"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	13	54696	Unreliable
	"Nebraska"	"31"	"52 years"	"52"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	13	54696	Unreliable
	"Nebraska"	"31"	"53 years"	"53"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	14	56958	Unreliable
	"Nebraska"	"31"	"53 years"	"53"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	16	56958	Unreliable
	"Nebraska"	"31"	"54 years"	"54"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	23	59209	38.8
	"Nebraska"	"31"	"54 years"	"54"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	18	59209	Unreliable
	"Nebraska"	"31"	"55 years"	"55"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	18	61373	Unreliable
	"Nebraska"	"31"	"55 years"	"55"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	19	61373	Unreliable
	"Nebraska"	"31"	"55 years"	"55"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	12	61373	Unreliable
	"Nebraska"	"31"	"56 years"	"56"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	63023	Unreliable
	"Nebraska"	"31"	"56 years"	"56"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	35	63023	55.5
	"Nebraska"	"31"	"56 years"	"56"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	17	63023	Unreliable
	"Nebraska"	"31"	"56 years"	"56"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	14	63023	Unreliable
	"Nebraska"	"31"	"57 years"	"57"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	12	63235	Unreliable
	"Nebraska"	"31"	"57 years"	"57"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	26	63235	41.1
	"Nebraska"	"31"	"57 years"	"57"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	23	63235	36.4
	"Nebraska"	"31"	"57 years"	"57"	"Acute myocardial infarction, unspecified"	"I21.9"	10	63235	Unreliable
	"Nebraska"	"31"	"57 years"	"57"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	16	63235	Unreliable
	"Nebraska"	"31"	"58 years"	"58"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	12	63403	Unreliable
	"Nebraska"	"31"	"58 years"	"58"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	32	63403	50.5
	"Nebraska"	"31"	"58 years"	"58"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	22	63403	34.7
	"Nebraska"	"31"	"58 years"	"58"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	19	63403	Unreliable
	"Nebraska"	"31"	"59 years"	"59"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	17	62858	Unreliable
	"Nebraska"	"31"	"59 years"	"59"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	35	62858	55.7
	"Nebraska"	"31"	"59 years"	"59"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	18	62858	Unreliable
	"Nebraska"	"31"	"59 years"	"59"	"Acute myocardial infarction, unspecified"	"I21.9"	11	62858	Unreliable
	"Nebraska"	"31"	"59 years"	"59"	"Atherosclerotic heart disease"	"I25.1"	15	62858	Unreliable
	"Nebraska"	"31"	"59 years"	"59"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	23	62858	36.6
	"Nebraska"	"31"	"60 years"	"60"	"Septicaemia, unspecified"	"A41.9"	11	61900	Unreliable
