"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Minnesota"	"27"	"< 1 year"	"0"	"Newborn affected by incompetent cervix"	"P01.0"	15	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Newborn affected by premature rupture of membranes"	"P01.1"	37	175015	21.1
	"Minnesota"	"27"	"< 1 year"	"0"	"Newborn affected by chorioamnionitis"	"P02.7"	19	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	127	175015	72.6
	"Minnesota"	"27"	"< 1 year"	"0"	"Other preterm infants"	"P07.3"	23	175015	13.1
	"Minnesota"	"27"	"< 1 year"	"0"	"Respiratory distress syndrome of newborn"	"P22.0"	17	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Primary atelectasis of newborn"	"P28.0"	16	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Neonatal cardiac failure"	"P29.0"	11	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Persistent fetal circulation"	"P29.3"	12	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Necrotizing enterocolitis of newborn"	"P77"	14	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Hypoxic ischemic encephalopathy of newborn"	"P91.6"	18	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Anencephaly"	"Q00.0"	12	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Congenital malformation of heart, unspecified"	"Q24.9"	16	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Hypoplasia and dysplasia of lung"	"Q33.6"	13	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Multiple congenital malformations, not elsewhere classified"	"Q89.7"	14	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Edwards syndrome, unspecified"	"Q91.3"	20	175015	11.4
	"Minnesota"	"27"	"< 1 year"	"0"	"Patau syndrome, unspecified"	"Q91.7"	13	175015	Unreliable
	"Minnesota"	"27"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	24	175015	13.7
	"Minnesota"	"27"	"< 1 year"	"0"	"Other ill-defined and unspecified causes of mortality"	"R99"	38	175015	21.7
	"Minnesota"	"27"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	51	175015	29.1
	"Minnesota"	"27"	"< 1 year"	"0"	"Assault by unspecified means"	"Y09"	10	175015	Unreliable
	"Minnesota"	"27"	"14 years"	"14"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10	186416	Unreliable
	"Minnesota"	"27"	"16 years"	"16"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10	186016	Unreliable
	"Minnesota"	"27"	"17 years"	"17"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	17	184987	Unreliable
	"Minnesota"	"27"	"17 years"	"17"	"Assault by other and unspecified firearm discharge"	"X95"	18	184987	Unreliable
	"Minnesota"	"27"	"18 years"	"18"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	18	179054	Unreliable
	"Minnesota"	"27"	"18 years"	"18"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	14	179054	Unreliable
	"Minnesota"	"27"	"18 years"	"18"	"Assault by other and unspecified firearm discharge"	"X95"	14	179054	Unreliable
	"Minnesota"	"27"	"19 years"	"19"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	18	179069	Unreliable
	"Minnesota"	"27"	"19 years"	"19"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	17	179069	Unreliable
	"Minnesota"	"27"	"19 years"	"19"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	179069	Unreliable
	"Minnesota"	"27"	"19 years"	"19"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	13	179069	Unreliable
	"Minnesota"	"27"	"19 years"	"19"	"Assault by other and unspecified firearm discharge"	"X95"	16	179069	Unreliable
	"Minnesota"	"27"	"20 years"	"20"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	10	178927	Unreliable
	"Minnesota"	"27"	"20 years"	"20"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	178927	11.2
	"Minnesota"	"27"	"20 years"	"20"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	178927	Unreliable
	"Minnesota"	"27"	"20 years"	"20"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	13	178927	Unreliable
	"Minnesota"	"27"	"20 years"	"20"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	11	178927	Unreliable
	"Minnesota"	"27"	"20 years"	"20"	"Assault by other and unspecified firearm discharge"	"X95"	17	178927	Unreliable
	"Minnesota"	"27"	"21 years"	"21"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	180331	12.2
	"Minnesota"	"27"	"21 years"	"21"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	180331	12.8
	"Minnesota"	"27"	"21 years"	"21"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	13	180331	Unreliable
	"Minnesota"	"27"	"21 years"	"21"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	13	180331	Unreliable
	"Minnesota"	"27"	"21 years"	"21"	"Assault by other and unspecified firearm discharge"	"X95"	12	180331	Unreliable
	"Minnesota"	"27"	"22 years"	"22"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	32	182641	17.5
	"Minnesota"	"27"	"22 years"	"22"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	182641	Unreliable
	"Minnesota"	"27"	"22 years"	"22"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	18	182641	Unreliable
	"Minnesota"	"27"	"22 years"	"22"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	16	182641	Unreliable
	"Minnesota"	"27"	"22 years"	"22"	"Assault by other and unspecified firearm discharge"	"X95"	14	182641	Unreliable
	"Minnesota"	"27"	"23 years"	"23"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	25	182120	13.7
	"Minnesota"	"27"	"23 years"	"23"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	182120	12.6
	"Minnesota"	"27"	"23 years"	"23"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	26	182120	14.3
	"Minnesota"	"27"	"23 years"	"23"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	13	182120	Unreliable
	"Minnesota"	"27"	"23 years"	"23"	"Assault by other and unspecified firearm discharge"	"X95"	18	182120	Unreliable
	"Minnesota"	"27"	"24 years"	"24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	188500	12.7
	"Minnesota"	"27"	"24 years"	"24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	26	188500	13.8
	"Minnesota"	"27"	"24 years"	"24"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	16	188500	Unreliable
	"Minnesota"	"27"	"24 years"	"24"	"Intentional self-harm by handgun discharge"	"X72"	15	188500	Unreliable
	"Minnesota"	"27"	"24 years"	"24"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	16	188500	Unreliable
	"Minnesota"	"27"	"24 years"	"24"	"Assault by other and unspecified firearm discharge"	"X95"	10	188500	Unreliable
	"Minnesota"	"27"	"25 years"	"25"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	12	190144	Unreliable
	"Minnesota"	"27"	"25 years"	"25"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	190144	12.6
	"Minnesota"	"27"	"25 years"	"25"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	29	190144	15.3
	"Minnesota"	"27"	"25 years"	"25"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	21	190144	11.0
	"Minnesota"	"27"	"25 years"	"25"	"Intentional self-harm by handgun discharge"	"X72"	12	190144	Unreliable
	"Minnesota"	"27"	"25 years"	"25"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	10	190144	Unreliable
	"Minnesota"	"27"	"25 years"	"25"	"Assault by other and unspecified firearm discharge"	"X95"	16	190144	Unreliable
	"Minnesota"	"27"	"26 years"	"26"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	35	193275	18.1
	"Minnesota"	"27"	"26 years"	"26"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	32	193275	16.6
	"Minnesota"	"27"	"26 years"	"26"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	21	193275	10.9
	"Minnesota"	"27"	"26 years"	"26"	"Intentional self-harm by handgun discharge"	"X72"	10	193275	Unreliable
	"Minnesota"	"27"	"26 years"	"26"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	15	193275	Unreliable
	"Minnesota"	"27"	"26 years"	"26"	"Assault by other and unspecified firearm discharge"	"X95"	14	193275	Unreliable
	"Minnesota"	"27"	"27 years"	"27"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	10	192661	Unreliable
	"Minnesota"	"27"	"27 years"	"27"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	13	192661	Unreliable
	"Minnesota"	"27"	"27 years"	"27"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	30	192661	15.6
	"Minnesota"	"27"	"27 years"	"27"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	27	192661	14.0
	"Minnesota"	"27"	"27 years"	"27"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	26	192661	13.5
