"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"South Dakota"	"46"	"< 1 year"	"0"	"Extreme immaturity"	"P07.2"	22	30837	71.3
	"South Dakota"	"46"	"< 1 year"	"0"	"Sudden infant death syndrome - SIDS"	"R95"	16	30837	Unreliable
	"South Dakota"	"46"	"< 1 year"	"0"	"Other ill-defined and unspecified causes of mortality"	"R99"	16	30837	Unreliable
	"South Dakota"	"46"	"< 1 year"	"0"	"Accidental suffocation and strangulation in bed"	"W75"	28	30837	90.8
	"South Dakota"	"46"	"18 years"	"18"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	12	28486	Unreliable
	"South Dakota"	"46"	"21 years"	"21"	"Intentional self-harm by handgun discharge"	"X72"	10	30950	Unreliable
	"South Dakota"	"46"	"23 years"	"23"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	12	31380	Unreliable
	"South Dakota"	"46"	"25 years"	"25"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	15	30548	Unreliable
	"South Dakota"	"46"	"27 years"	"27"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	10	30236	Unreliable
	"South Dakota"	"46"	"45 years"	"45"	"Alcoholic cirrhosis of liver"	"K70.3"	10	23646	Unreliable
	"South Dakota"	"46"	"49 years"	"49"	"Acute myocardial infarction, unspecified"	"I21.9"	15	24199	Unreliable
	"South Dakota"	"46"	"50 years"	"50"	"Acute myocardial infarction, unspecified"	"I21.9"	16	24273	Unreliable
	"South Dakota"	"46"	"51 years"	"51"	"Acute myocardial infarction, unspecified"	"I21.9"	22	24549	89.6
	"South Dakota"	"46"	"52 years"	"52"	"Acute myocardial infarction, unspecified"	"I21.9"	14	25117	Unreliable
	"South Dakota"	"46"	"53 years"	"53"	"Acute myocardial infarction, unspecified"	"I21.9"	20	26293	76.1
	"South Dakota"	"46"	"53 years"	"53"	"Alcoholic cirrhosis of liver"	"K70.3"	12	26293	Unreliable
	"South Dakota"	"46"	"54 years"	"54"	"Acute myocardial infarction, unspecified"	"I21.9"	28	27384	102.2
	"South Dakota"	"46"	"55 years"	"55"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	13	28492	Unreliable
	"South Dakota"	"46"	"55 years"	"55"	"Acute myocardial infarction, unspecified"	"I21.9"	21	28492	73.7
	"South Dakota"	"46"	"56 years"	"56"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	12	29184	Unreliable
	"South Dakota"	"46"	"56 years"	"56"	"Unspecified diabetes mellitus, without complications"	"E14.9"	11	29184	Unreliable
	"South Dakota"	"46"	"56 years"	"56"	"Acute myocardial infarction, unspecified"	"I21.9"	24	29184	82.2
	"South Dakota"	"46"	"56 years"	"56"	"Alcoholic cirrhosis of liver"	"K70.3"	11	29184	Unreliable
	"South Dakota"	"46"	"57 years"	"57"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	15	29456	Unreliable
	"South Dakota"	"46"	"57 years"	"57"	"Acute myocardial infarction, unspecified"	"I21.9"	31	29456	105.2
	"South Dakota"	"46"	"58 years"	"58"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	16	29671	Unreliable
	"South Dakota"	"46"	"58 years"	"58"	"Acute myocardial infarction, unspecified"	"I21.9"	25	29671	84.3
	"South Dakota"	"46"	"58 years"	"58"	"Atherosclerotic heart disease"	"I25.1"	13	29671	Unreliable
	"South Dakota"	"46"	"58 years"	"58"	"Alcoholic cirrhosis of liver"	"K70.3"	11	29671	Unreliable
	"South Dakota"	"46"	"59 years"	"59"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	13	29723	Unreliable
	"South Dakota"	"46"	"59 years"	"59"	"Acute myocardial infarction, unspecified"	"I21.9"	38	29723	127.8
	"South Dakota"	"46"	"59 years"	"59"	"Atherosclerotic heart disease"	"I25.1"	12	29723	Unreliable
	"South Dakota"	"46"	"60 years"	"60"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	17	29411	Unreliable
	"South Dakota"	"46"	"60 years"	"60"	"Acute myocardial infarction, unspecified"	"I21.9"	44	29411	149.6
	"South Dakota"	"46"	"60 years"	"60"	"Atherosclerotic heart disease"	"I25.1"	14	29411	Unreliable
	"South Dakota"	"46"	"60 years"	"60"	"Alcoholic cirrhosis of liver"	"K70.3"	12	29411	Unreliable
	"South Dakota"	"46"	"60 years"	"60"	"COVID-19"	"U07.1"	10	29411	Unreliable
	"South Dakota"	"46"	"61 years"	"61"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	32	29078	110.0
	"South Dakota"	"46"	"61 years"	"61"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	11	29078	Unreliable
	"South Dakota"	"46"	"61 years"	"61"	"Acute myocardial infarction, unspecified"	"I21.9"	53	29078	182.3
	"South Dakota"	"46"	"61 years"	"61"	"Atherosclerotic heart disease"	"I25.1"	17	29078	Unreliable
	"South Dakota"	"46"	"61 years"	"61"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	29078	Unreliable
	"South Dakota"	"46"	"62 years"	"62"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	19	29109	Unreliable
	"South Dakota"	"46"	"62 years"	"62"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	21	29109	72.1
	"South Dakota"	"46"	"62 years"	"62"	"Acute myocardial infarction, unspecified"	"I21.9"	42	29109	144.3
	"South Dakota"	"46"	"62 years"	"62"	"Atherosclerotic heart disease"	"I25.1"	21	29109	72.1
	"South Dakota"	"46"	"62 years"	"62"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	29109	Unreliable
	"South Dakota"	"46"	"63 years"	"63"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	28610	Unreliable
	"South Dakota"	"46"	"63 years"	"63"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	34	28610	118.8
	"South Dakota"	"46"	"63 years"	"63"	"Acute myocardial infarction, unspecified"	"I21.9"	46	28610	160.8
	"South Dakota"	"46"	"63 years"	"63"	"Atherosclerotic heart disease"	"I25.1"	16	28610	Unreliable
	"South Dakota"	"46"	"63 years"	"63"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	28610	Unreliable
	"South Dakota"	"46"	"63 years"	"63"	"COVID-19"	"U07.1"	17	28610	Unreliable
	"South Dakota"	"46"	"64 years"	"64"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	27	27926	96.7
	"South Dakota"	"46"	"64 years"	"64"	"Acute myocardial infarction, unspecified"	"I21.9"	53	27926	189.8
	"South Dakota"	"46"	"64 years"	"64"	"Atherosclerotic heart disease"	"I25.1"	11	27926	Unreliable
	"South Dakota"	"46"	"64 years"	"64"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	15	27926	Unreliable
	"South Dakota"	"46"	"64 years"	"64"	"COVID-19"	"U07.1"	11	27926	Unreliable
	"South Dakota"	"46"	"65 years"	"65"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	10	27397	Unreliable
	"South Dakota"	"46"	"65 years"	"65"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	28	27397	102.2
	"South Dakota"	"46"	"65 years"	"65"	"Acute myocardial infarction, unspecified"	"I21.9"	37	27397	135.1
	"South Dakota"	"46"	"65 years"	"65"	"Atherosclerotic heart disease"	"I25.1"	18	27397	Unreliable
	"South Dakota"	"46"	"65 years"	"65"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	27397	Unreliable
	"South Dakota"	"46"	"65 years"	"65"	"COVID-19"	"U07.1"	14	27397	Unreliable
	"South Dakota"	"46"	"66 years"	"66"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	11	26300	Unreliable
	"South Dakota"	"46"	"66 years"	"66"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	22	26300	83.7
	"South Dakota"	"46"	"66 years"	"66"	"Acute myocardial infarction, unspecified"	"I21.9"	56	26300	212.9
	"South Dakota"	"46"	"66 years"	"66"	"Atherosclerotic heart disease"	"I25.1"	15	26300	Unreliable
	"South Dakota"	"46"	"66 years"	"66"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	11	26300	Unreliable
	"South Dakota"	"46"	"66 years"	"66"	"COVID-19"	"U07.1"	19	26300	Unreliable
	"South Dakota"	"46"	"67 years"	"67"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	17	25179	Unreliable
	"South Dakota"	"46"	"67 years"	"67"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	37	25179	146.9
	"South Dakota"	"46"	"67 years"	"67"	"Acute myocardial infarction, unspecified"	"I21.9"	71	25179	282.0
	"South Dakota"	"46"	"67 years"	"67"	"Atherosclerotic heart disease"	"I25.1"	17	25179	Unreliable
	"South Dakota"	"46"	"67 years"	"67"	"Stroke, not specified as haemorrhage or infarction"	"I64"	10	25179	Unreliable
